season,round,driver_id,qualifying_position,q1,q2,q3
2026,1,russell,1,1:19.507,1:18.934,1:18.518
2026,1,antonelli,2,1:20.120,1:19.435,1:18.811
2026,1,hadjar,3,1:20.023,1:19.653,1:19.303
2026,1,leclerc,4,1:20.226,1:19.357,1:19.327
2026,1,piastri,5,1:19.664,1:19.525,1:19.380
2026,1,norris,6,1:20.010,1:19.882,1:19.475
2026,1,hamilton,7,1:19.811,1:19.921,1:19.478
2026,1,lawson,8,1:20.491,1:20.144,1:19.994
2026,1,arvid_lindblad,9,1:20.409,1:19.971,1:21.247
2026,1,bortoleto,10,1:20.495,1:20.221,
2026,1,hulkenberg,11,1:21.024,1:20.303,
2026,1,bearman,12,1:21.247,1:20.311,
2026,1,ocon,13,1:20.759,1:20.491,
2026,1,gasly,14,1:21.138,1:20.501,
2026,1,albon,15,1:21.051,1:20.941,
2026,1,colapinto,16,1:21.200,1:21.270,
2026,1,alonso,17,1:21.969,,
2026,1,perez,18,1:22.605,,
2026,1,bottas,19,1:23.244,,
2026,2,antonelli,1,1:33.305,1:32.443,1:32.064
2026,2,russell,2,1:33.262,1:32.523,1:32.286
2026,2,hamilton,3,1:33.522,1:32.567,1:32.415
2026,2,leclerc,4,1:33.175,1:32.486,1:32.428
2026,2,piastri,5,1:33.590,1:33.130,1:32.550
2026,2,norris,6,1:33.535,1:32.910,1:32.608
2026,2,gasly,7,1:33.788,1:33.003,1:32.873
2026,2,max_verstappen,8,1:33.417,1:33.098,1:33.002
2026,2,hadjar,9,1:33.632,1:33.352,1:33.121
2026,2,bearman,10,1:33.687,1:33.197,1:33.292
2026,2,hulkenberg,11,1:34.116,1:33.354,
2026,2,colapinto,12,1:33.634,1:33.357,
2026,2,ocon,13,1:33.974,1:33.538,
2026,2,lawson,14,1:34.139,1:33.765,
2026,2,arvid_lindblad,15,1:33.906,1:33.784,
2026,2,bortoleto,16,1:33.549,1:33.965,
2026,2,sainz,17,1:34.317,,
2026,2,albon,18,1:34.772,,
2026,2,alonso,19,1:35.203,,
2026,2,bottas,20,1:35.436,,
2026,2,stroll,21,1:35.995,,
2026,2,perez,22,1:36.906,,
2026,3,antonelli,1,1:30.035,1:29.048,1:28.778
2026,3,russell,2,1:29.967,1:29.686,1:29.076
2026,3,piastri,3,1:30.200,1:29.451,1:29.132
2026,3,leclerc,4,1:29.915,1:29.303,1:29.405
2026,3,norris,5,1:30.401,1:29.795,1:29.409
2026,3,hamilton,6,1:30.309,1:29.589,1:29.567
2026,3,gasly,7,1:30.584,1:29.874,1:29.691
2026,3,hadjar,8,1:30.662,1:30.104,1:29.978
2026,3,bortoleto,9,1:30.359,1:29.990,1:30.274
2026,3,arvid_lindblad,10,1:30.781,1:30.109,1:30.319
2026,3,max_verstappen,11,1:30.519,1:30.262,
2026,3,ocon,12,1:30.915,1:30.309,
2026,3,hulkenberg,13,1:30.358,1:30.387,
2026,3,lawson,14,1:30.657,1:30.495,
2026,3,colapinto,15,1:30.931,1:30.627,
2026,3,sainz,16,1:30.927,1:31.033,
2026,3,albon,17,1:31.088,,
2026,3,bearman,18,1:31.090,,
2026,3,perez,19,1:32.206,,
2026,3,bottas,20,1:32.330,,
2026,3,alonso,21,1:32.646,,
2026,3,stroll,22,1:32.920,,
